doi	cited_anywhere_in_repo	cited_in_paper_bib	n_files	sample_file	source_catalogs
10.1002/aic.15868	NO	NO	0	-	Physics Simulation Validation Protocol; Settling and Force Reporting in Free Surface Flow
10.1002/cav.70024	NO	NO	0	-	Multi-resolution MPM for Large-domain Flooding
10.1002/cpe.8269	NO	NO	0	-	Reliable AI Scientific Software
10.1002/fld.5233	NO	NO	0	-	Multi-resolution MPM for Large-domain Flooding
10.1002/hyp.11082	NO	NO	0	-	Elicit (bib+CSV)
10.1002/hyp.1198	NO	NO	0	-	Physics Simulation Validation Protocol
10.1002/hyp.14703	NO	NO	0	-	Physics Simulation Validation Protocol
10.1002/nag.2321	NO	NO	0	-	Physics Simulation Validation Protocol
10.1002/nag.3731	NO	NO	0	-	Multi-resolution MPM for Large-domain Flooding
10.1002/nag.70048	NO	NO	0	-	Multi-resolution MPM for Large-domain Flooding
10.1002/nme.2787	NO	NO	0	-	Multi-resolution MPM for Large-domain Flooding
10.1002/nme.5956	NO	NO	0	-	Multi-resolution MPM for Large-domain Flooding
10.1002/nme.6312	NO	NO	0	-	Multi-resolution MPM for Large-domain Flooding
10.1002/nme.6506	YES	NO	1	docs/LITERATURE_CI_GATES_2026-08-08.md	MPM Simulation Verification Provenance; Multi-resolution MPM for Large-domain Flooding
10.1002/nme.6588	NO	NO	0	-	Multi-resolution MPM for Large-domain Flooding
10.1002/nme.70206	NO	NO	0	-	Multi-resolution MPM for Large-domain Flooding
10.1002/nme.70210	NO	NO	0	-	MPM Simulation Verification Provenance; Physics Simulation Validation Protocol; Validated MPM Vehicle Water Coupling
10.1002/nme.7217	NO	NO	0	-	MPM Simulation Verification Provenance; Multi-resolution MPM for Large-domain Flooding; Physics Simulation Validation Protocol; Quantitative MPM Wall Penetration
10.1002/nme.7347	NO	NO	0	-	MPM Simulation Verification Provenance
10.1002/spe.2926	NO	NO	0	-	Reliable AI Scientific Software
10.1002/stvr.1912	NO	NO	0	-	Reliable AI Scientific Software
10.1002/wat2.1338	NO	NO	0	-	Physics Simulation Validation Protocol
10.1006/jcph.2002.7103	YES	NO	1	docs/LITERATURE_CI_GATES_2026-08-08.md	MPM Simulation Verification Provenance
10.1007/978-3-030-37425-9_1	NO	NO	0	-	Elicit (bib+CSV)
10.1007/978-3-319-22997-3_11	NO	NO	0	-	Multi-resolution MPM for Large-domain Flooding
10.1007/978-981-10-7218-5_42	NO	NO	0	-	Elicit (bib+CSV)
10.1007/s00348-016-2211-z	NO	NO	0	-	Settling and Force Reporting in Free Surface Flow
10.1007/s00348-021-03151-5	NO	NO	0	-	Settling and Force Reporting in Free Surface Flow
10.1007/s00366-013-0342-x	YES	NO	1	docs/LITERATURE_CI_GATES_2026-08-08.md	MPM Simulation Verification Provenance
10.1007/s00466-019-01783-3	NO	NO	0	-	MPM Simulation Verification Provenance; Multi-resolution MPM for Large-domain Flooding; Physics Simulation Validation Protocol; Validated MPM Vehicle Water Coupling
10.1007/s00466-021-02024-2	NO	NO	0	-	MPM Simulation Verification Provenance
10.1007/s00466-024-02510-3	NO	NO	0	-	Quantitative MPM Wall Penetration
10.1007/s10664-026-10840-4	NO	NO	0	-	Reliable AI Scientific Software
10.1007/s11069-010-9639-x	YES	YES	14	paper/can_it_ford_references_IEEE.bib	Dynamic Vehicle Traction in Floodwater; Validated MPM Vehicle Water Coupling
